,dialog,summary,predicted
10,"696741: @UPSHelp I’m not DM’ing you because you’re a useless company every week I get a delivery from you and the lazy driver just gives the post office the items and then the app tells me they are gonna deliver the next day then 20 mins later says they’re at the post office
UPSHelp: @696741 There is two service levels where we are required to deliver the packages from the shipper to the Post Office and they take care of the final delivery. One is Surepost and the other is Mail Innovations. ^LD https://t.co/wKJHDXWGRQ
696741: @UPSHelp Well isn’t that 3 service levels? And why did my app say you attempted to deliver my package when you clearly didn’t. Absolute joke
696741: @UPSHelp So surepost is where your shit company just gets your drivers to drop off everyone’s parcels at the post office? I didn’t trust your shit app and went to go collect my item today and they didn’t have it 20 mins later they did when on the app it said it was coming tomorrow
UPSHelp: @696741 Surepost is a contracted service where we deliver the package from the shipper to USPS for them to do the final delivery. If you do want help we will need the tracking number to see what specifically is going on. ^LD https://t.co/wKJHDXWGRQ
",Customer is frustrated that the delivery drivers are lazy and delivery is made on time. Agent updated that package will be deliver on time and asked customer to DM for further tracking.,"[{'summary_text': ""There is two service levels where UPS deliver packages from shipper to the Post Office and the final delivery is Surepost and the other is Mail Innovations. 696741 didn't trust the Surepost app and went to collect her parcel today and they didn't have it 20 minutes later.""}]"
11,"696741: @UPSHelp I’m not DM’ing you because you’re a useless company every week I get a delivery from you and the lazy driver just gives the post office the items and then the app tells me they are gonna deliver the next day then 20 mins later says they’re at the post office
UPSHelp: @696741 There is two service levels where we are required to deliver the packages from the shipper to the Post Office and they take care of the final delivery. One is Surepost and the other is Mail Innovations. ^LD https://t.co/wKJHDXWGRQ
UPSHelp: @696741 There is two service levels where we are required to deliver the packages from the shipper to the Post Office and they take care of the final delivery. One is Surepost and the other is Mail Innovations. ^LD https://t.co/wKJHDXWGRQ
UPSHelp: @696741 1. Surepost 2. Mail Innovations. We will need the tracking number for that package to look into it further. If you DM us that information we can check into it for you. ^LD https://t.co/wKJHDXWGRQ
696741: @UPSHelp So surepost is where your shit company just gets your drivers to drop off everyone’s parcels at the post office? I didn’t trust your shit app and went to go collect my item today and they didn’t have it 20 mins later they did when on the app it said it was coming tomorrow
",Customer is complaining about the delivery experience with which was rescheduled couple of times before being delivered. Agent shared an URL and requests to provide the tracking number.,[{'summary_text': 'There is two service levels where Surepost and Mail Innovations deliver the final delivery. Surepost delivers the packages from the shipper to the Post Office and the other takes care of the delivery. UPSHelp will look into the tracking number for the package. '}]
12,"696741: @UPSHelp I’m not DM’ing you because you’re a useless company every week I get a delivery from you and the lazy driver just gives the post office the items and then the app tells me they are gonna deliver the next day then 20 mins later says they’re at the post office
UPSHelp: @696741 There is two service levels where we are required to deliver the packages from the shipper to the Post Office and they take care of the final delivery. One is Surepost and the other is Mail Innovations. ^LD https://t.co/wKJHDXWGRQ
UPSHelp: @696741 There is two service levels where we are required to deliver the packages from the shipper to the Post Office and they take care of the final delivery. One is Surepost and the other is Mail Innovations. ^LD https://t.co/wKJHDXWGRQ
696741: @UPSHelp Well isn’t that 3 service levels? And why did my app say you attempted to deliver my package when you clearly didn’t. Absolute joke
UPSHelp: @696741 Surepost is a contracted service where we deliver the package from the shipper to USPS for them to do the final delivery. If you do want help we will need the tracking number to see what specifically is going on. ^LD https://t.co/wKJHDXWGRQ
","Customer is complaining about delayed delivery of an item and false mail about failed delivery. Agent explains that their service has two levels which are surepost and mail innovations, also explains about both the services.",[{'summary_text': 'There is two service levels where UPS deliver packages from the shipper to the Post Office and the final delivery is Surepost and the other is Mail Innovations. The Surepost delivery is a contracted service. USPS will take care of the last delivery for Surepost.'}]
13,"507897: Stuck at Staines waiting for a Reading train, why no information or advice being passed on to passengers on the platform? @SW_Help
SW_Help: @507897 Hi, due to electric supply problems trains are not running to Reading. https://t.co/32WcR5jrvQ ^BK
507897: @SW_Help I know the reason, but I don't think it unreasonable to have announcements or staff giving updates. E.g the 8.42 was going to Wokingham it is now going to Reading. Why wasn't this announced?
SW_Help: @507897 Hi Adrian, we have just been informed by @115793 engineers that the line is open again and trains can now run between Wokingham and Reading. Sorry for the confusion. ^MB
","The customer says that he is stuck at Staines waiting for a Reading train, and asks why no information has been passed on to the passengers at the platform. The agent says that due to electricity supply problems trains are not running to Reading and adds that they have just been informed by their engineers that the line is open again and trains can now run between Workingham and Reading.",[{'summary_text': 'The line is now open between Wokingham and Reading. The 8.42 train from Staines to Reading is now going to Reading instead of Wokeham. There were electric supply problems and trains are not running to Reading due to the problem. The line has now been reopened.'}]
14,"507897: Stuck at Staines waiting for a Reading train, why no information or advice being passed on to passengers on the platform? @SW_Help
SW_Help: @507897 Hi, due to electric supply problems trains are not running to Reading. https://t.co/32WcR5jrvQ ^BK
507897: @SW_Help I know the reason, but I don't think it unreasonable to have announcements or staff giving updates. E.g the 8.42 was going to Wokingham it is now going to Reading. Why wasn't this announced?
SW_Help: @507897 Hi, no trains are currently able to run to Reading. ^BK
SW_Help: @507897 Hi Adrian, we have just been informed by @115793 engineers that the line is open again and trains can now run between Wokingham and Reading. Sorry for the confusion. ^MB
","Customer has been Stuck at Staines  waiting for a Reading train, and complaints that there is no information or advice being passed on to passengers on the platform. Agent updates that they have been informed  by engineers that the line is open again and the trains can now run between Wokingham and Reading.",[{'summary_text': ' 507897 is stuck at Staines waiting for a Reading train. There are electric supply problems and trains are not running to Reading due to the problem. Engineers have just been informed that the line is now open again and trains can now run between Wokingham and Reading.'}]
15,"265508: @sainsburys Do you stock this at Leicester Fosse Park? If so, which aisle? Thank you! https://t.co/X7ShJpBwfX
sainsburys: @265508 Hi Lynn! This product will be available in aisle 7. If you struggle to locate it, one of our colleagues will be able to help! Dee
265508: @sainsburys Hi -After a good 15 minutes walking up and down aisle 7, then 8 &amp; 9, then asking cust services - turns out this store doesn't stock this 😑🤔😤
sainsburys: @265508 Can you please DM me your Nectar card number using the link provided so we can look into this for you? Thanks, Gabby https://t.co/MdMtnTlX6H
",Customer is complaining that he is unable to locate a particular product even after searching 3 aisle for 15 minutes. Agent states that his colleague will assist to locate it and also requests for the nectar card number.,"[{'summary_text': ""265508 wants to know if the product is available in aisle 7 at Leicester Fosse Park, but the store doesn't stock it. Gabby will DM Lynn's Nectar card number so they can look into it for her and help her. ""}]"
16,"265508: @sainsburys Do you stock this at Leicester Fosse Park? If so, which aisle? Thank you! https://t.co/X7ShJpBwfX
sainsburys: @265508 Hi Lynn! This product will be available in aisle 7. If you struggle to locate it, one of our colleagues will be able to help! Dee
265508: @sainsburys Hi -After a good 15 minutes walking up and down aisle 7, then 8 &amp; 9, then asking cust services - turns out this store doesn't stock this 😑🤔😤
sainsburys: @265508 Can you please DM me your Nectar card number using the link provided so we can look into this for you? Thanks, Gabby https://t.co/MdMtnTlX6H
","The customer asks whether the product is stocked at Leicester Fosse Park and adds that after walking for 15 minutes up and down aisle 7, 8 and 9 he didn't find the required stock there. The agent informs that the product is available in aisle 7 and asks to DM the customer's Nectar card number using the link provided to assist further.","[{'summary_text': ""265508 wants to know if the product is available in aisle 7 at Leicester Fosse Park, but the store doesn't stock it. Gabby will DM Lynn's Nectar card number so they can look into it for her and help her. ""}]"
17,"265508: @sainsburys Do you stock this at Leicester Fosse Park? If so, which aisle? Thank you! https://t.co/X7ShJpBwfX
sainsburys: @265508 Hi Lynn! This product will be available in aisle 7. If you struggle to locate it, one of our colleagues will be able to help! Dee
sainsburys: @265508 Can you please DM me your Nectar card number using the link provided so we can look into this for you? Thanks, Gabby https://t.co/MdMtnTlX6H
","Customer is asking does Leicester Fosse Park has the stock, If yes, then in which aisle.. Agent requests to DM their Nectar card number using the link provided so that they can look into this issue.","[{'summary_text': ""Sainsburys will stock the product at Leicester Fosse Park in aisle 7. Lynn will DM Dee's Nectar card number using the link provided so they can look into it for her. If Lynn can't find the product, one of their colleagues will help her.""}]"
18,"791446: @NikeSupport doing the 5K plan on the run app &amp; I’ve consistently done better/longer than the suggestions. This morning it asked to update plan using my new (improved) times &amp; it cut next week’s runs by more than half &amp; slowed my times even more. Why?
791446: @NikeSupport doing the 5K plan on the run app &amp; I’ve consistently done better/longer than the suggestions. This morning it asked to update plan using my new (improved) times &amp; it cut next week’s runs by more than half &amp; slowed my times even more. Why?
791446: @NikeSupport Yes. I haven’t missed a workout. For example, today started week 5, I originally had a recovery run of 4.25 miles that was changed to 1.5 miles w/ a 2 min slower time. The mileage total for this week dropped from 12.5 miles to 6.25 after the app updated based on my new data.
NikeSupport: @791446 We'll be able to assist you better over the phone. Please give us a call at 1-800-379-6453 (8a-5p PT, M-F) when you get the chance.
",Customer says the mileage total for this week dropped from 12.5 miles to 6.25 after the app updated based on new data. Agent says will be able to assist better over the phone.,"[{'summary_text': ""791446 has done better/longer than the suggestions on the 5K plan on the Nike Support app. He hasn't missed a workout. The mileage for this week dropped from 12.5 miles to 6.25 miles after the app updated based on his new data. NikeSupport will be able to assist him over the phone.""}]"
19,"791446: @NikeSupport doing the 5K plan on the run app &amp; I’ve consistently done better/longer than the suggestions. This morning it asked to update plan using my new (improved) times &amp; it cut next week’s runs by more than half &amp; slowed my times even more. Why?
791446: @NikeSupport doing the 5K plan on the run app &amp; I’ve consistently done better/longer than the suggestions. This morning it asked to update plan using my new (improved) times &amp; it cut next week’s runs by more than half &amp; slowed my times even more. Why?
NikeSupport: @791446 Let's figure this out. Did you complete all workouts in your previous week in your Coach plan?
NikeSupport: @791446 We'll be able to assist you better over the phone. Please give us a call at 1-800-379-6453 (8a-5p PT, M-F) when you get the chance.
NikeSupport: @791446 We'll be able to assist you better over the phone. Please give us a call at 1-800-379-6453 (8a-5p PT, M-F) when you get the chance.
",Customer complaining that he updated the plan and it cut next weeks run by more than half and slowed his times even more. Agent asking is he complete all the workouts of previous week  and he will be assisting him better over phone please give a call.,"[{'summary_text': ""791446 has done better/longer than the suggestions on NikeSupport's 5K plan on the run app. This morning it asked to update plan using his new (improved) times. It cut next week’s runs by more than half and slowed his times even more. NikeSupport will help him over the phone.""}]"
20,"791446: @NikeSupport doing the 5K plan on the run app &amp; I’ve consistently done better/longer than the suggestions. This morning it asked to update plan using my new (improved) times &amp; it cut next week’s runs by more than half &amp; slowed my times even more. Why?
791446: @NikeSupport doing the 5K plan on the run app &amp; I’ve consistently done better/longer than the suggestions. This morning it asked to update plan using my new (improved) times &amp; it cut next week’s runs by more than half &amp; slowed my times even more. Why?
NikeSupport: @791446 Got it. Can you tell us what device, operating system and version of the app you're using?
791446: @NikeSupport iPhone 7+ 
Version 11.1.2 
NRC App Version: 5.10.0 

Thanks!
NikeSupport: @791446 We'll be able to assist you better over the phone. Please give us a call at 1-800-379-6453 (8a-5p PT, M-F) when you get the chance.
",Customer is complaining about the update plan which has cut off by more than half and has slowed the time even more. Agent stated that they will be able to assist them better over the phone and requested to call on the given number if they get a chance.,"[{'summary_text': ""791446 is using the NikeSupport iPhone 7+ and NRC app version 5.10.0 to update the 5K plan on the run app. He's consistently done better/longer than the suggestions. This morning it asked to update plan using his new (improved) times.""}]"
21,"791446: @NikeSupport doing the 5K plan on the run app &amp; I’ve consistently done better/longer than the suggestions. This morning it asked to update plan using my new (improved) times &amp; it cut next week’s runs by more than half &amp; slowed my times even more. Why?
791446: @NikeSupport doing the 5K plan on the run app &amp; I’ve consistently done better/longer than the suggestions. This morning it asked to update plan using my new (improved) times &amp; it cut next week’s runs by more than half &amp; slowed my times even more. Why?
NikeSupport: @791446 Let's figure this out. Did you complete all workouts in your previous week in your Coach plan?
791446: @NikeSupport Yes. I haven’t missed a workout. For example, today started week 5, I originally had a recovery run of 4.25 miles that was changed to 1.5 miles w/ a 2 min slower time. The mileage total for this week dropped from 12.5 miles to 6.25 after the app updated based on my new data.
791446: @NikeSupport Yes. I haven’t missed a workout. For example, today started week 5, I originally had a recovery run of 4.25 miles that was changed to 1.5 miles w/ a 2 min slower time. The mileage total for this week dropped from 12.5 miles to 6.25 after the app updated based on my new data.
",Customer is complaining that doing the 5K plan on the run app & amp but it consistently done better or longer than the suggestions. Agent suggest to share him the screenshots of what exactly its showing.,"[{'summary_text': ""791446 completed all workouts in his previous week in his Coach plan. He hasn't missed a workout. The mileage for this week dropped from 12.5 miles to 6.25 miles after the app updated based on his new data. Today started week 5, a recovery run of 4.25m was changed to 1.5m.""}]"
22,"267282: @LondonMidland ok explain why you LEFT for the day leaving your customers stranded?
LondonMidland: @267282 our standard hours currently are 7am - 7pm Monday to Friday. We work to those hours
LondonMidland: @267282 If you would like a full response as it's very difficult on here due to character limit please email us __email__
",The customer is complaining that why did you left the customers for the day. The agent confronted saying that their standard ours currently atr 7am to 7pm monday to friday and asks him to email them.,"[{'summary_text': 'LondonMidland left for the day leaving customers stranded. LondonMidland works to the standard hours of 7am - 7pm Monday to Friday. If you want a full response, please email them to the end of the character limit on the Twitter site.  '}]"
23,"267282: @LondonMidland ok explain why you LEFT for the day leaving your customers stranded?
LondonMidland: @267282 our standard hours currently are 7am - 7pm Monday to Friday. We work to those hours
267282: @LondonMidland So you don’t do overtime if it means your customers need help? Do you not care about your customers?
LondonMidland: @267282 at the current time, we are contracted to those hours any updates from then would be made at stations
",Customer is complaining for not responding to the tweets at the time of need. Agent states that he cannot respond unless it is standard working hours.,"[{'summary_text': ""LondonMidland left for the day leaving its customers stranded. LondonMidland works to the standard hours of 7am - 7pm Monday to Friday and doesn't do overtime if it means customers need help. The updates from that time would be made at stations.""}]"
24,"267282: @LondonMidland you didn’t even. Ask me to pass on an apology to my friend for this farce https://t.co/DKEUdzjORN
267282: @LondonMidland ok explain why you LEFT for the day leaving your customers stranded?
LondonMidland: @267282 our standard hours currently are 7am - 7pm Monday to Friday. We work to those hours
LondonMidland: @267282 at the current time, we are contracted to those hours any updates from then would be made at stations
LondonMidland: @267282 If you would like a full response as it's very difficult on here due to character limit please email us __email__
",Customer is complaining about the missing of the tweet to his friend and poor service. Agent updates to mail the issue since there is a character limit and it will be very difficult to solve the issue on twitter.,"[{'summary_text': 'LondonMidland left for the day leaving customers stranded. LondonMidland works to the standard hours of 7am - 7pm Monday to Friday and updates would be made at stations. If you want a full response to the situation, please email them to: __email__.'}]"
25,"127318: @Ask_Spectrum if you have a commercial that says you have 100mbs for 44.99 honor it in all your markets you provide 100mbs at.
Ask_Spectrum: @127318 Good morning. In some areas of our markets our network is not yet able to provide those speeds. We do not offer a... https://t.co/FtPfIhKYfd
Ask_Spectrum: @127318 Hi William, In order to discuss this further we ask that you please contact our billing specialist at: 800-892-4357​​. Thank you. ^SS
",Customer having an issue with data speed in his area. Agent updated the customer in some area of their market network is not yet provided those speed and also informed the customer to contact billing specialist for further assist.,"[{'summary_text': ""In some areas of Spectrum's network, the network is not able to provide speeds of 100mbs for 44.99 in all your markets. In order to discuss this further, please contact Spectrum's billing specialist at 800-892-4357. ""}]"
26,"127318: @Ask_Spectrum if you have a commercial that says you have 100mbs for 44.99 honor it in all your markets you provide 100mbs at.
Ask_Spectrum: @127318 Good morning. In some areas of our markets our network is not yet able to provide those speeds. We do not offer a... https://t.co/FtPfIhKYfd
127318: @Ask_Spectrum My area offered me 100mb for more money so now that this is the standard and they do offer 100mb shouldn’t I receive it right away
127318: @Ask_Spectrum I have the 60mb plan but I watch many commercials saying they offer 100mb for the same price. My area has 100mb so shouldn’t I be getting it
Ask_Spectrum: @127318 Hi William, In order to discuss this further we ask that you please contact our billing specialist at: 800-892-4357​​. Thank you. ^SS
",Customer is complaining that other commercials are offering 100mb instead of 60mb for more money. Agent updates that the advertisements are package/product prices for new customers and requests to contact their billing specialist for further assistance.,"[{'summary_text': ""There is a question whether Spectrum should honor a commercial that says you have 100mbs for 44.99 in all your markets. In some areas of Spectrum's network, the network is not able to provide those speeds. William should contact Spectrum to discuss the issue with their billing specialist.""}]"
27,"127318: @Ask_Spectrum if you have a commercial that says you have 100mbs for 44.99 honor it in all your markets you provide 100mbs at.
Ask_Spectrum: @127318 Hi William, In order to discuss this further we ask that you please contact our billing specialist at: 800-892-4357​​. Thank you. ^SS
",The customer is complaining that his internet speed was too slow and he is not getting 100mbps as  they said. The agent asked the customer to contact the billing specialist at 800-892-4357.,[{'summary_text': 'There is a commercial that says you have 100mbs for 44.99 in all your markets. Spectrum asks William to contact their billing specialist at 800-892-4357 to discuss the matter further. .   . iReport to Ask_Spectrum. '}]
28,"616965: @CenturyLinkHelp Scott, there isn’t anything that you could help me with. You guys only provide 3mbps to my house. That’s it.
616965: @CenturyLinkHelp I can’t do anything with the service your company provides... but sadly it’s the only option for me...
CenturyLinkHelp: @616965 To double check the services, I would just need the address. You can send that in a DM, though, so it's not public. -Scott
CenturyLinkHelp: @616965 To double check the services, I would just need the address. You can send that in a DM, though, so it's not public. -Scott
",Customer is complaining about the slowness in the available service at his location. Agent is requesting for the address in order to investigate further  via Direct message.,"[{'summary_text': ""616965 can't do anything with the service his company provides. He needs the address to double check the services, so he can send the address in a DM, so it's not public. To double check services, he would just need the address.""}]"
29,"179120: @British_Airways Problems with your desktop website? ETA to resolution? How am I supposed to order my in-flight meal? https://t.co/NS1C3ERFpg
179120: @British_Airways Problems with your desktop website? ETA to resolution? How am I supposed to order my in-flight meal? https://t.co/NS1C3ERFpg
British_Airways: @179120 Hi there, we're aware of the issue and our IT team are working on a fix as we speak. Sorry for the inconvenience. ^Fiona
",Customer complaning about british airways problems with their website  he supposed to order his meal. Agent is replying that he aware of the issue and his it team are working to fix a problem.,"[{'summary_text': ""British_Airways has problems with its desktop website. The IT team is working on a fix as they speak. 179120 can't order her in-flight meal. British Airways is aware of the issue and apologizes for the inconvenience. .  ""}]"
30,"179120: @British_Airways Problems with your desktop website? ETA to resolution? How am I supposed to order my in-flight meal? https://t.co/NS1C3ERFpg
179120: @British_Airways Problems with your desktop website? ETA to resolution? How am I supposed to order my in-flight meal? https://t.co/NS1C3ERFpg
British_Airways: @179120 If you need to order a meal we can certainly help you with that. You'll need to DM us your full name, booking reference, email address and what number we can reach you on. ^Natalie
","Customers has problem with desktop website to order meal in flight. Agent informs customer to DM full name,booking reference, email address and  mobile number to reach on.","[{'summary_text': ""British_Airways has problems with its desktop website. Natalie needs to DM her full name, booking reference, email address and a number to order her in-flight meal. British Airways will help her with that, but she'll need to DM them her name and a booking reference.""}]"
31,"179120: @British_Airways Problems with your desktop website? ETA to resolution? How am I supposed to order my in-flight meal? https://t.co/NS1C3ERFpg
British_Airways: @179120 Hi there, we're aware of the issue and our IT team are working on a fix as we speak. Sorry for the inconvenience. ^Fiona
British_Airways: @179120 If you need to order a meal we can certainly help you with that. You'll need to DM us your full name, booking reference, email address and what number we can reach you on. ^Natalie
","The customer is asking how a order a meal in flight. The agent updated that they are facing some issue and a team working on it, and you can order the meal by dm them by his full name, booking refrence, email address and phone number.","[{'summary_text': ""British_Airways is working on a fix for problems with its desktop website. If you need to order a meal, you'll need to DM them your full name, booking reference, email address and what number they can reach you on to order the meal.""}]"
32,"179120: @British_Airways Problems with your desktop website? ETA to resolution? How am I supposed to order my in-flight meal? https://t.co/NS1C3ERFpg
179120: @British_Airways Problems with your desktop website? ETA to resolution? How am I supposed to order my in-flight meal? https://t.co/NS1C3ERFpg
British_Airways: @179120 Hi there, we're aware of the issue and our IT team are working on a fix as we speak. Sorry for the inconvenience. ^Fiona
British_Airways: @179120 If you need to order a meal we can certainly help you with that. You'll need to DM us your full name, booking reference, email address and what number we can reach you on. ^Natalie
British_Airways: @179120 If you need to order a meal we can certainly help you with that. You'll need to DM us your full name, booking reference, email address and what number we can reach you on. ^Natalie
",Customer is complaining that he is unable to order in-flight meal due to some issues with the website. Agent states that their IT team is working to fix the issue and meanwhile requests for the account details in order to book the meal.,"[{'summary_text': ""British_Airways has problems with its desktop website. It's working on a fix. If you need to order a meal, you'll need to DM them your full name, booking reference, email address and what number they can reach you on to order the meal.""}]"
33,"488310: @TMobileHelp @115913 Cause heres a news flash: I DONT WORK FOR YOU. So dont send me a link to correct YOUR clerical error. Pick upma phone snd call me &amp; fix
488310: @TMobileHelp @115913 Cause heres a news flash: I DONT WORK FOR YOU. So dont send me a link to correct YOUR clerical error. Pick upma phone snd call me &amp; fix
488310: @TMobileHelp @115913 Cause heres a news flash: I DONT WORK FOR YOU. So dont send me a link to correct YOUR clerical error. Pick upma phone snd call me &amp; fix
TMobileHelp: @488310 @115913 I just tried calling, but got a voicemail. I'll meet you back in DM. *StephanieGarza
","Customer is saying go not link to correct clerical error and pick up ma phone send call me &amp,fix. Agent says that just tried calling but got a voicemail.","[{'summary_text': ""TMobileHelp doesn't work for you, so don't send her a link to correct your clerical error. Stephanie Garza tried calling, but got a voicemail. She'll meet her back in DM. She will call her and call her again.""}]"
